h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
24031703209,12.902,13.649,12.393,1122.167,454.533,667.633
24031703210,12.163,11.874,12.359,812.2,328.05,484.15
24031703212,14.746,15.81,14.11,1553.55,580.983,972.567
24031703213,15.818,15.692,15.963,986.383,529.317,457.067
24031703214,15.989,15.826,16.159,990.85,504.3,486.55
24031703215,15.552,15.928,15.283,705.917,293.917,412
24031703216,17.119,17.393,16.842,615.7,309.6,306.1
24031703218,18.858,18.297,19.373,318.183,152.4,165.783
24031703219,19.55,19.404,19.679,435.667,204.433,231.233
24031703220,15.907,15.715,16.052,888.317,382.267,506.05
24031703221,16.98,16.985,16.978,977.9,342.833,635.067
24031703301,15.205,15.311,15.099,784.35,391.817,392.533
24031703302,15.059,14.98,15.155,709,389.783,319.217
24031703401,14.139,13.824,14.463,927.917,470.383,457.533
24031703402,14.64,14.532,14.751,771.917,391.883,380.033
24031703403,13.747,13.338,14.215,727.6,388.517,339.083
24031703404,13.231,12.754,14.063,608.9,387.167,221.733
24031703501,13.198,12.687,13.874,1081.833,615.883,465.95
24031703502,12.112,12.652,11.754,637.867,253.983,383.883
24031703601,12.436,12.753,12.222,976.717,392.333,584.383
24031703602,11.589,13.225,10.948,769.9,216.75,553.15
24031703701,13.438,13.041,13.936,793.4,441.967,351.433
24031703702,12.814,12.713,12.901,905.883,420.683,485.2
24031703800,11.46,11.739,11.265,876.017,359.583,516.433
24031703901,11.386,12.924,10.643,943.717,307.5,636.217
24031703902,11.611,12.098,11.264,1421.533,591.733,829.8
24031704000,11.016,11.332,10.808,1636.333,649.167,987.167
24031704100,11.349,13.329,10.586,1021.85,284.2,737.65
24031704200,12.032,12.924,11.574,527.733,178.917,348.817
24031704300,11.124,12.813,10.567,883.65,219,664.65
24031704401,11.916,13.247,11.379,870.233,250.383,619.85
24031704403,12.039,12.162,11.972,528.65,187.917,340.733
24031704404,10.907,11.784,10.6,1144.067,296.683,847.383
24031704501,11.782,12.074,11.649,900.383,281.733,618.65
24031704502,11.264,12.03,10.901,778.4,250.1,528.3
24031704503,10.969,12.182,10.494,955.733,269.033,686.7
24031704600,10.096,11.188,9.789,1252.65,274.683,977.967
24031704700,9.334,10.519,8.837,1012.667,299.083,713.583
24031704803,8.766,9.317,8.499,1155.6,376.15,779.45
24031704804,10.024,10.558,9.721,610.283,220.867,389.417
24031704805,9.868,11.05,9.279,674.283,224.283,450
24031704806,9.559,10.311,9.231,928.7,282.15,646.55
24031705000,10.232,11.373,9.868,1074.3,260.117,814.183
24031705100,9.885,11.07,9.481,1238.483,314.883,923.6
24031705200,8.844,10.585,8.171,1029.05,286.833,742.217
